Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.447144,30.478571000000002,30.08,30.104286,26.986492,88102700
2010-01-04,30.49,30.642857,30.34,30.572857,27.406532000000002,123432400
2010-01-05,30.657142999999998,30.798571000000003,30.464284999999997,30.625713,27.453915000000002,150476200
2010-01-06,30.625713,30.747142999999998,30.107143,30.138571000000002,27.017222999999998,138040000
2010-01-07,30.25,30.285715000000003,29.864286,30.082857,26.967278000000004,119282800
2010-01-08,30.042856,30.285715000000003,29.865715,30.282858,27.146565999999996,111902700
2010-01-11,30.4,30.428571999999996,29.778571999999997,30.015715000000004,26.907093,115557400
2010-01-12,29.884285,29.967142,29.488571000000004,29.674286,26.601022999999998,148614900
2010-01-13,29.695715000000003,30.132856,29.157142999999998,30.092857000000002,26.976244,151473000
2010-01-14,30.015715000000004,30.065714,29.860001,29.918571000000004,26.820007,108223500
2010-01-15,30.132856,30.228571000000002,29.41,29.418571000000004,26.371792,148516900
2010-01-19,29.761428999999996,30.741428000000003,29.605715000000004,30.719998999999998,27.538433,182501900
2010-01-20,30.701428999999997,30.792856,29.928571999999996,30.247142999999998,27.114555,153038200
2010-01-21,30.297141999999997,30.472857,29.601429,29.724285,26.645842,152038600
2010-01-22,29.540001,29.642857,28.165714,28.25,25.324244,220441900
2010-01-25,28.93,29.242857,28.598571999999997,29.01,26.005541,266424900
2010-01-26,29.421428999999996,30.530001000000002,28.940001000000002,29.42,26.373071999999997,466777500
2010-01-27,29.549999,30.082857,28.504285999999997,29.697144,26.621516999999997,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469998999999998,25.521461,293375600
2010-01-29,28.725714,28.885714,27.178571999999996,27.437143,24.595573,311488100
2010-02-01,27.481428,28.0,27.328571000000004,27.818571000000002,24.937496,187469100
2010-02-02,27.987143,28.045713,27.625713,27.98,25.082210999999997,174585600
2010-02-03,27.881428000000003,28.6,27.774286,28.461428,25.513775,153832000
2010-02-04,28.104286,28.338571999999996,27.367144,27.435715000000002,24.594294,189413000
2010-02-05,27.518572,28.0,27.264286,27.922857,25.030981,212576700
2010-02-08,27.955715,28.268572,27.714284999999997,27.731428,24.859381,119567700
